village_officer_domain,village_officer_domain_no,house_address,nic,gender,district
Town Division 03,AP/15A/2,128/A,815886,F,ampara
Town Division 03,AP/15A/2,131/2,402396,M,ampara
Town Division 05,AP/15A/4,20/C/1,956688,M,ampara
Town Division 05,AP/15A/4,53/1,454021,M,ampara
Town Division 05,AP/15A/4,78/C,314704,M,ampara
Town Division 05,AP/15A/4,90/B,973371,F,ampara
Town Division 05,AP/15A/4,95/B,669442,M,ampara
Town Division 05,AP/15A/4,121/C/3,242702,M,ampara
Town Division 05,AP/15A/4,124,73032,M,ampara
Town Division 05,AP/15A/4,134/1,392528,F,ampara
Town Division 05,AP/15A/4,143/1,928011,F,ampara
Town Division 05,AP/15A/4,143/B/1,836053,M,ampara
Town Division 05,AP/15A/4,177,100027,M,ampara
Town Division 05,AP/15A/4,207/C,626583,F,ampara
Town Division 05,AP/15A/4,200/B,474888,M,ampara
Town Division 05,AP/15A/4,241,168562,F,ampara
Town Division 05,AP/15A/4,257/B,427939,M,ampara
Town Division 05,AP/15A/4,265,505881,F,ampara
Town Division 05,AP/15A/4,266,622766,M,ampara
Town Division 05,AP/15A/4,279/A,131844,M,ampara
Town Division 05,AP/15A/4,288,598794,M,ampara
Town Division 05,AP/15A/4,289/B,754927,M,ampara
Town Division 05,AP/15A/4,289/D,194579,F,ampara
Town Division 05,AP/15A/4,300/24,273010,F,ampara
Town Division 05,AP/15A/4,302/7,25563,F,ampara
Akkaraipattu 01,AP/15,58/3,120782,M,ampara
Akkaraipattu 01,AP/15,62/B,399587,F,ampara
Akkaraipattu 01,AP/15,69/A,82686,M,ampara
Akkaraipattu 01,AP/15,81/2,117678,M,ampara
Akkaraipattu 01,AP/15,85/B,710451,M,ampara
Akkaraipattu 01,AP/15,108,176952,M,ampara
Akkaraipattu 01,AP/15,114/1,691183,F,ampara
Akkaraipattu 01,AP/15,135/1/A,309731,M,ampara
Akkaraipattu 01,AP/15,135/A,374369,F,ampara
Akkaraipattu 01,AP/15,151,920454,M,ampara
Akkaraipattu 01,AP/15,160/1/A,985430,M,ampara
Akkaraipattu 01,AP/15,160/1/B,594192,M,ampara
Akkaraipattu 01,AP/15,164,495707,F,ampara
Akkaraipattu 10,AP/15/1,5/B,619885,M,ampara
Akkaraipattu 10,AP/15/1,58/A,341354,M,ampara
Akkaraipattu 10,AP/15/1,86,235069,F,ampara
Akkaraipattu 10,AP/15/1,88,164431,F,ampara
Akkaraipattu 10,AP/15/1,123/1,252842,F,ampara
Akkaraipattu 10,AP/15/1,140,558240,M,ampara
Akkaraipattu 10,AP/15/1,141/A,17582,M,ampara
Akkaraipattu 10,AP/15/1,145/A,295072,F,ampara
Akkaraipattu 10,AP/15/1,160/B,604208,F,ampara
Akkaraipattu 10,AP/15/1,176/A,931648,M,ampara
Akkaraipattu 10,AP/15/1,201/A,531217,F,ampara
Akkaraipattu 10,AP/15/1,209/A,811575,M,ampara
Akkaraipattu 11,AP/15/2,7/A,322678,M,ampara
Akkaraipattu 11,AP/15/2,10,120573,M,ampara
Akkaraipattu 11,AP/15/2,20/A/1,30649,M,ampara
Akkaraipattu 11,AP/15/2,22/B,91445,F,ampara
Akkaraipattu 11,AP/15/2,65/C,40732,M,ampara
Akkaraipattu 11,AP/15/2,96/A,259824,F,ampara
Akkaraipattu 11,AP/15/2,111,670092,F,ampara
Akkaraipattu 11,AP/15/2,124,815978,F,ampara
Akkaraipattu 11,AP/15/2,124,730621,M,ampara
Akkaraipattu 11,AP/15/2,154/A,887011,M,ampara
Akkaraipattu 11,AP/15/2,175,842349,F,ampara
Akkaraipattu 11,AP/15/2,182,225413,F,ampara
Akkaraipattu 11,AP/15/2,182/1,473218,M,ampara
Akkaraipattu 11,AP/15/2,201/B,533512,M,ampara
Akkaraipattu 11,AP/15/2,220/A/3,246782,M,ampara
Akkaraipattu 11,AP/15/2,227/B,315771,M,ampara
Akkaraipattu 11,AP/15/2,231,777374,F,ampara
Akkaraipattu 11,AP/15/2,252,275742,M,ampara
Akkaraipattu 11,AP/15/2,263,210405,F,ampara
Akkaraipattu 12,AP/15/3,9,385190,M,ampara
Akkaraipattu 12,AP/15/3,42/2,754694,M,ampara
Akkaraipattu 12,AP/15/3,73,106806,M,ampara
Akkaraipattu 12,AP/15/3,79/A,641064,F,ampara
Akkaraipattu 12,AP/15/3,84,133137,F,ampara
Akkaraipattu 12,AP/15/3,94,21012,F,ampara
Akkaraipattu 12,AP/15/3,105,824676,F,ampara
Akkaraipattu 12,AP/15/3,147/1,842734,M,ampara
Akkaraipattu 12,AP/15/3,160/B,520519,M,ampara
Akkaraipattu 13,AP/15/4,42,201137,M,ampara
Akkaraipattu 13,AP/15/4,50/B,171466,F,ampara
Akkaraipattu 13,AP/15/4,57/G,149284,M,ampara
Akkaraipattu 13,AP/15/4,60/B,11038,F,ampara
Akkaraipattu 13,AP/15/4,65/A,515256,F,ampara
Akkaraipattu 13,AP/15/4,91,794526,M,ampara
Akkaraipattu 13,AP/15/4,100,576036,F,ampara
Akkaraipattu 13,AP/15/4,185,614694,M,ampara
Akkaraipattu 13,AP/15/4,207/1,374327,F,ampara
Akkaraipattu 13,AP/15/4,238,685889,M,ampara
Akkaraipattu 13,AP/15/4,252/A,374709,M,ampara
Akkaraipattu 13,AP/15/4,256/A,438378,M,ampara
Akkaraipattu 13,AP/15/4,263/D,137522,M,ampara
Akkaraipattu 13,AP/15/4,272/B,773311,F,ampara
Akkaraipattu 13,AP/15/4,380/A,888605,M,ampara
Akkaraipattu 14,AP/15/5,20,923286,F,ampara
Akkaraipattu 14,AP/15/5,21/4,911628,M,ampara
Akkaraipattu 14,AP/15/5,40/C,543072,M,ampara
Akkaraipattu 14,AP/15/5,62/A,385903,F,ampara
Akkaraipattu 14,AP/15/5,87,984081,M,ampara
Akkaraipattu 14,AP/15/5,96/A,294480,M,ampara
Akkaraipattu 14,AP/15/5,143/A,47268,F,ampara
Akkaraipattu 14,AP/15/5,160/A/2,917250,M,ampara
Akkaraipattu 14,AP/15/5,163/B,987211,F,ampara
Akkaraipattu 14,AP/15/5,168/A,136640,M,ampara
Akkaraipattu 14,AP/15/5,176/B,419586,M,ampara
Akkaraipattu 14,AP/15/5,186,173836,F,ampara
Akkaraipattu 14,AP/15/5,218/C,480728,M,ampara
Akkaraipattu 14,AP/15/5,224/A/1,149132,M,ampara
Akkaraipattu 14,AP/15/5,251,945637,F,ampara
Akkaraipattu 11,AP/15/2,277/,578202,M,ampara
Deeghawapiya 01,AD/35A,[15/1,774513,M,ampara
Deeghawapiya 01,AD/35A,[23/2,143518,M,ampara
Deeghawapiya 01,AD/35A,[37/B,448106,F,ampara
Deeghawapiya 01,AD/35A,[45/2,938413,F,ampara
Deeghawapiya 01,AD/35A,[48/2,966722,M,ampara
Deeghawapiya 01,AD/35A,[48/4,991644,M,ampara
Deeghawapiya 01,AD/35A,[66/1/A,693184,M,ampara
Deeghawapiya 01,AD/35A,[107/4,32480,M,ampara
Deeghawapiya 01,AD/35A,[173,99784,F,ampara
Deeghawapiya 01,AD/35A,[177,271097,M,ampara
Deeghawapiya 01,AD/35A,[211,568250,F,ampara
Deeghawapiya 01,AD/35A,[213,716666,M,ampara
Akkaraipattu 11,AP/15/2,230/1/,130149,M,ampara
Deeghawapiya 02,AD/35D,[51/1,255873,F,ampara
Deeghawapiya 02,AD/35D,[76,271789,F,ampara
Deeghawapiya 02,AD/35D,[118/1,716754,M,ampara
Deeghawapiya 02,AD/35D,[118/2,490019,F,ampara
Deeghawapiya 02,AD/35D,[120/1/1,321841,F,ampara
Deeghawapiya 02,AD/35D,[140,571007,F,ampara
Deeghawapiya 02,AD/35D,[182,431720,F,ampara
Oluvil 01,AD/35,10,373628,F,ampara
Oluvil 01,AD/35,58/A,343355,M,ampara
Oluvil 01,AD/35,80/A,792728,F,ampara
Oluvil 01,AD/35,97,935083,F,ampara
Oluvil 01,AD/35,117,583882,F,ampara
Oluvil 01,AD/35,159,328563,M,ampara
Oluvil 01,AD/35,43/18,321523,F,ampara
Oluvil 04,AD/35E,64,99461,F,ampara
Oluvil 04,AD/35E,115/B,963612,M,ampara
Oluvil 04,AD/35E,122/A,538056,M,ampara
Oluvil 04,AD/35E,126/A,748136,F,ampara
Oluvil 04,AD/35E,133,617107,M,ampara
Oluvil 04,AD/35E,154/B,657589,M,ampara
Oluvil 04,AD/35E,205/A,707808,M,ampara
Oluvil 04,AD/35E,211/A,951937,M,ampara
Oluvil 04,AD/35E,240/B,55325,M,ampara
Oluvil 02,AD/35B,48,288519,M,ampara
Oluvil 02,AD/35B,74,673302,M,ampara
Oluvil 02,AD/35B,77,583116,F,ampara
Oluvil 02,AD/35B,96,20221,M,ampara
Oluvil 02,AD/35B,100,995388,F,ampara
Oluvil 02,AD/35B,113,963429,M,ampara
Oluvil 02,AD/35B,145/2,897806,M,ampara
Oluvil 02,AD/35B,166,435594,F,ampara
Oluvil 02,AD/35B,205,269271,M,ampara
Oluvil 02,AD/35B,257/3,194094,F,ampara
Oluvil 02,AD/35B,284,449067,M,ampara
Oluvil 02,AD/35B,303/1,827484,M,ampara
Oluvil 02,AD/35B,324,907237,F,ampara
Oluvil 05,AD/35C/1,15,58275,M,ampara
Oluvil 05,AD/35C/1,44/1,19306,M,ampara
Oluvil 05,AD/35C/1,73/2,253970,M,ampara
Oluvil 05,AD/35C/1,114/1,64634,M,ampara
Oluvil 06,AD/35C/2,24,582808,M,ampara
Oluvil 06,AD/35C/2,37,37399,F,ampara
Oluvil 06,AD/35C/2,75,9660,M,ampara
Oluvil 06,AD/35C/2,81/2,655480,F,ampara
Oluvil 06,AD/35C/2,189,518498,M,ampara
Oluvil 06,AD/35C/2,203,109489,F,ampara
Oluvil 06,AD/35C/2,218,875978,F,ampara
Oluvil 07,AD/35C/3,38/A,673393,M,ampara
Oluvil 07,AD/35C/3,48/2,157606,F,ampara
Oluvil 07,AD/35C/3,55/A,878590,M,ampara
Oluvil 07,AD/35C/3,57/A,576376,F,ampara
Oluvil 07,AD/35C/3,60/B,953964,M,ampara
Oluvil 07,AD/35C/3,71/A,914637,M,ampara
Oluvil 07,AD/35C/3,83/D,167947,F,ampara
Oluvil 07,AD/35C/3,110/B,786185,M,ampara
Oluvil 07,AD/35C/3,138,677298,M,ampara
Oluvil 07,AD/35C/3,186,221556,F,ampara
Oluvil 07,AD/35C/3,231,85320,F,ampara
PalaFuna 01,AD/34,05/A,972629,F,ampara
PalaFuna 01,AD/34,36,769066,M,ampara
PalaFuna 01,AD/34,47,864235,F,ampara
PalaFuna 01,AD/34,54/A,397413,M,ampara
PalaFuna 01,AD/34,56/B,380517,M,ampara
PalaFuna 01,AD/34,61,432995,F,ampara
PalaFuna 01,AD/34,108/A,493435,M,ampara
PalaFuna 01,AD/34,163/C,265184,F,ampara
PalaFuna 01,AD/34,166/A,449130,F,ampara
PalaFuna 01,AD/34,208/2,167443,F,ampara
PalaFuna 01,AD/34,216,297611,M,ampara
PalaFuna 01,AD/34,222/B/2,552331,M,ampara
PalaFuna 01,AD/34,226/B/4,224629,M,ampara
PalaFuna 01,AD/34,228,70275,M,ampara
PalaFuna 01,AD/34,228/2,81590,M,ampara
PalaFuna 01,AD/34,238/D/6,445288,M,ampara
PalaFuna 01,AD/34,248,254233,M,ampara
PalaFuna 01,AD/34,263/B,125783,M,ampara
PalaFuna 01,AD/34,308/A,17113,F,ampara
PalaFuna 01,AD/34,312/B/1,839187,M,ampara
PalaFuna 06,AD/34B/1,113/B,394788,F,ampara
PalaFuna 06,AD/34B/1,143/A,92797,F,ampara
PalaFuna 02,AD/34A,15/A,940500,M,ampara
PalaFuna 02,AD/34A,20/C,71988,M,ampara
PalaFuna 02,AD/34A,38/5/1,235993,M,ampara
PalaFuna 02,AD/34A,39/A,492348,M,ampara
PalaFuna 02,AD/34A,46/2,571584,M,ampara
PalaFuna 02,AD/34A,84/B,372074,F,ampara
PalaFuna 02,AD/34A,89/1,751660,M,ampara
PalaFuna 02,AD/34A,153/D/1,121620,M,ampara
PalaFuna 05,AD/34A/2,37,673125,F,ampara
PalaFuna 05,AD/34A/2,37/A,617400,M,ampara
PalaFuna 05,AD/34A/2,71,245443,F,ampara
PalaFuna 05,AD/34A/2,121/C,225766,F,ampara
PalaFuna 05,AD/34A/2,135/B/1,795126,M,ampara
PalaFuna 05,AD/34A/2,158,320922,M,ampara
PalaFuna 05,AD/34A/2,160/A,279953,F,ampara
PalaFuna 05,AD/34A/2,208/B,542488,M,ampara
PalaFuna 05,AD/34A/2,250,873124,M,ampara
PalaFuna 03,AD/34B,38/A,62679,F,ampara
PalaFuna 03,AD/34B,63,424223,M,ampara
PalaFuna 03,AD/34B,135/A,420840,M,ampara
PalaFuna 03,AD/34B,135/B,191405,M,ampara
PalaFuna 03,AD/34B,148/A,647525,F,ampara
PalaFuna 03,AD/34B,209/A,966791,F,ampara
PalaFuna 03,AD/34B,214/A,169664,M,ampara
PalaFuna 04,AD/34A/1,72,551288,F,ampara
PalaFuna 04,AD/34A/1,93,691676,F,ampara
PalaFuna 04,AD/34A/1,104,254229,F,ampara
PalaFuna 04,AD/34A/1,E/08,124132,M,ampara
PalaFuna 04,AD/34A/1,F/08/A,886522,M,ampara
PalaFuna 04,AD/34A/1,G/7/A,786825,M,ampara
PalaFuna 04,AD/34A/1,K/06,899667,M,ampara
PalaFuna 04,AD/34A/1,K/11/A,776259,M,ampara
PalaFuna 04,AD/34A/1,L/8/A,929008,F,ampara
Addalachchenai 01,AD/33,9,17318,M,ampara
Addalachchenai 01,AD/33,11/A,582825,F,ampara
Addalachchenai 01,AD/33,108/A,837364,F,ampara
Addalachchenai 01,AD/33,153,170,M,ampara
Addalachchenai 01,AD/33,208,586063,M,ampara
Addalachchenai 10,AD/33B,35,16546,M,ampara
Addalachchenai 10,AD/33B,53/A,347898,F,ampara
Addalachchenai 10,AD/33B,63/A,294721,F,ampara
Addalachchenai 10,AD/33B,80,565667,M,ampara
Addalachchenai 10,AD/33B,131/A,1259,M,ampara
Addalachchenai 10,AD/33B,140/A,316788,F,ampara
Addalachchenai 10,AD/33B,142/A,562552,F,ampara
Addalachchenai 10,AD/33B,148/B,554091,M,ampara
Addalachchenai 10,AD/33B,156,896530,M,ampara
Addalachchenai 10,AD/33B,159/A,857601,M,ampara
Addalachchenai 10,AD/33B,174/A,697024,F,ampara
Addalachchenai 10,AD/33B,204,717445,F,ampara
Addalachchenai 02,AD/31,80/A,687232,F,ampara
Addalachchenai 02,AD/31,95/A,98608,M,ampara
Addalachchenai 02,AD/31,95/A,942758,F,ampara
Addalachchenai 02,AD/31,114/C,410119,M,ampara
Addalachchenai 02,AD/31,131/A,807619,F,ampara
Addalachchenai 02,AD/31,151,267686,M,ampara
Addalachchenai 02,AD/31,189/B,137361,F,ampara
Addalachchenai 11,AD/31A,35,211415,M,ampara
Addalachchenai 11,AD/31A,89,71987,F,ampara
Addalachchenai 11,AD/31A,101,538896,F,ampara
Addalachchenai 11,AD/31A,159,851106,F,ampara
Addalachchenai 11,AD/31A,172/A,109579,F,ampara
Addalachchenai 11,AD/31A,177,738473,F,ampara
Addalachchenai 11,AD/31A,187,785602,M,ampara
Addalachchenai 11,AD/31A,243/B,918244,F,ampara
Addalachchenai 03,AD/30A,60,131354,F,ampara
Addalachchenai 03,AD/30A,67/B,300983,M,ampara
Addalachchenai 03,AD/30A,90,842158,M,ampara
Addalachchenai 03,AD/30A,95,411024,F,ampara
Addalachchenai 03,AD/30A,105,712525,M,ampara
Addalachchenai 03,AD/30A,169/C,533482,M,ampara
Addalachchenai 12,AD/30A/1,27,328897,M,ampara
Addalachchenai 12,AD/30A/1,38,352122,M,ampara
Addalachchenai 12,AD/30A/1,76,525564,M,ampara
Addalachchenai 12,AD/30A/1,81,999217,F,ampara
Addalachchenai 12,AD/30A/1,95/A,957730,M,ampara
Addalachchenai 12,AD/30A/1,108/A,421166,M,ampara
Addalachchenai 12,AD/30A/1,173/B,388700,M,ampara
Addalachchenai 13,AD/30D,20,544981,M,ampara
Addalachchenai 13,AD/30D,56/A,396459,F,ampara
Addalachchenai 13,AD/30D,86,161466,M,ampara
Addalachchenai 13,AD/30D,102,479798,F,ampara
Addalachchenai 13,AD/30D,221,219497,M,ampara
Addalachchenai 13,AD/30D,381,582738,M,ampara
Addalachchenai 13,AD/30D,389,587829,M,ampara
Addalachchenai 13,AD/30D,372/A,506719,M,ampara
Addalachchenai 04,AD/30,6,348321,M,ampara
Addalachchenai 04,AD/30,35,872985,F,ampara
Addalachchenai 04,AD/30,73/B,81622,M,ampara
Addalachchenai 04,AD/30,96/A,414460,F,ampara
Addalachchenai 04,AD/30,97,221712,F,ampara
Addalachchenai 04,AD/30,138/A,51992,M,ampara
Addalachchenai 04,AD/30,144/B,715324,M,ampara
Addalachchenai 04,AD/30,158,198445,M,ampara
Addalachchenai 04,AD/30,163/C,31353,F,ampara
Addalachchenai 04,AD/30,166,839375,F,ampara
Addalachchenai 04,AD/30,177/A,92465,M,ampara
Addalachchenai 04,AD/30,182/A,81046,M,ampara
Addalachchenai 04,AD/30,202/B,200198,M,ampara
Addalachchenai 04,AD/30,206,932274,F,ampara
Addalachchenai 04,AD/30,202/C,54140,F,ampara
Addalachchenai 04,AD/30,230,736290,F,ampara
Addalachchenai 04,AD/30,233,501180,M,ampara
Addalachchenai 04,AD/30,248,772919,M,ampara
Addalachchenai 05,AD/30B,2,666117,M,ampara
Addalachchenai 05,AD/30B,6/A,155551,M,ampara
Addalachchenai 05,AD/30B,22/A,686409,M,ampara
Addalachchenai 05,AD/30B,25/A,645000,M,ampara
Addalachchenai 05,AD/30B,68/A,117745,F,ampara
Addalachchenai 05,AD/30B,74/C,258556,M,ampara
Addalachchenai 05,AD/30B,78/A,821225,M,ampara
Addalachchenai 05,AD/30B,89/B,70738,F,ampara
Addalachchenai 05,AD/30B,14,350226,M,ampara
Addalachchenai 05,AD/30B,53/A,497066,M,ampara
Addalachchenai 14,AD/30E,52,342991,F,ampara
Addalachchenai 14,AD/30E,54/A,199897,M,ampara
Addalachchenai 14,AD/30E,72/A,896060,F,ampara
Addalachchenai 14,AD/30E,80,438701,F,ampara
Addalachchenai 14,AD/30E,106,4619,F,ampara
Addalachchenai 14,AD/30E,106/2,531330,M,ampara
Addalachchenai 14,AD/30E,124,855004,F,ampara
Addalachchenai 14,AD/30E,148/B,221993,F,ampara
Addalachchenai 14,AD/30E,155,666453,F,ampara
Addalachchenai 14,AD/30E,181,425531,F,ampara
Addalachchenai 14,AD/30E,188/B,984572,M,ampara
Addalachchenai 15,AD/30B/1,12/A,293071,M,ampara
Addalachchenai 15,AD/30B/1,44/B,39413,F,ampara
Addalachchenai 15,AD/30B/1,47,933057,M,ampara
Addalachchenai 15,AD/30B/1,54,789436,M,ampara
Addalachchenai 15,AD/30B/1,62,207586,M,ampara
Addalachchenai 15,AD/30B/1,83,23579,F,ampara
Addalachchenai 15,AD/30B/1,98/D,295955,M,ampara
Addalachchenai 15,AD/30B/1,121/A,63530,F,ampara
Addalachchenai 15,AD/30B/1,139/A,774891,F,ampara
Addalachchenai 15,AD/30B/1,163,939901,M,ampara
Addalachchenai 15,AD/30B/1,178/A,953577,M,ampara
Addalachchenai 15,AD/30B/1,184/D,183259,M,ampara
Addalachchenai 15,AD/30B/1,185,400576,F,ampara
Addalachchenai 15,AD/30B/1,186/A,545393,M,ampara
Addalachchenai 15,AD/30B/1,188,54829,F,ampara
Addalachchenai 15,AD/30B/1,204/D,82934,F,ampara
Addalachchenai 15,AD/30B/1,205/B,408830,M,ampara
Addalachchenai 15,AD/30B/1,221/B,153183,M,ampara
Addalachchenai 15,AD/30B/1,226,422754,M,ampara
Addalachchenai 15,AD/30B/1,235,355749,M,ampara
Addalachchenai 15,AD/30B/1,243,404329,M,ampara
Addalachchenai 15,AD/30B/1,257,672017,M,ampara
Addalachchenai 15,AD/30B/1,268/A,959513,M,ampara
Addalachchenai 15,AD/30B/1,277,156219,F,ampara
Addalachchenai 16,AD/30B/2,6,157422,M,ampara
Addalachchenai 16,AD/30B/2,38/B,890771,F,ampara
Addalachchenai 16,AD/30B/2,43/A,855486,M,ampara
Addalachchenai 16,AD/30B/2,115/C,801924,M,ampara
Addalachchenai 16,AD/30B/2,121,640436,M,ampara
Addalachchenai 16,AD/30B/2,130/A,595203,F,ampara
Addalachchenai 16,AD/30B/2,138,804134,M,ampara
Addalachchenai 16,AD/30B/2,158,119452,M,ampara
Addalachchenai 16,AD/30B/2,175/A,335347,M,ampara
Addalachchenai 16,AD/30B/2,200/D,738582,M,ampara
Addalachchenai 16,AD/30B/2,254,713205,M,ampara
Addalachchenai 09,AD/33A,39/A,116503,M,ampara
Addalachchenai 09,AD/33A,56/A,452962,M,ampara
Addalachchenai 09,AD/33A,69/A,911312,M,ampara
Addalachchenai 09,AD/33A,91/A,915619,F,ampara
Addalachchenai 09,AD/33A,117,624416,M,ampara
Addalachchenai 09,AD/33A,120/B,427758,M,ampara
Addalachchenai 09,AD/33A,139,620214,F,ampara
Addalachchenai 09,AD/33A,207/D,616155,M,ampara
Addalachchenai 09,AD/33A,228/A,500111,M,ampara
Addalachchenai 09,AD/33A,233/A,329247,F,ampara
Addalachchenai 09,AD/33A,233/A,709211,M,ampara
Addalachchenai 09,AD/33A,245,864220,F,ampara
Addalachchenai 08,AD/30C/2,16/A,360595,F,ampara
Addalachchenai 08,AD/30C/2,20,234506,M,ampara
Addalachchenai 08,AD/30C/2,30,629096,M,ampara
Addalachchenai 08,AD/30C/2,35/D,17020,F,ampara
Addalachchenai 08,AD/30C/2,44/A,594299,F,ampara
Addalachchenai 08,AD/30C/2,68/E,432342,M,ampara
Addalachchenai 08,AD/30C/2,83,672958,F,ampara
Addalachchenai 08,AD/30C/2,85/B,569431,M,ampara
Addalachchenai 08,AD/30C/2,120/C,569146,M,ampara
Addalachchenai 08,AD/30C/2,151,307764,M,ampara
Addalachchenai 08,AD/30C/2,174/C,181710,M,ampara
Addalachchenai 08,AD/30C/2,189/C,942261,M,ampara
Addalachchenai 08,AD/30C/2,248,362058,M,ampara
Addalachchenai 08,AD/30C/2,269/F,57736,F,ampara
Addalachchenai 08,AD/30C/2,300/D,504528,M,ampara
Addalachchenai 08,AD/30C/2,305,816712,M,ampara
Addalachchenai 08,AD/30C/2,306,191090,M,ampara
Addalachchenai 06,AD/30C,15,422282,F,ampara
Addalachchenai 06,AD/30C,57/C,63001,F,ampara
Addalachchenai 06,AD/30C,145,744846,F,ampara
Addalachchenai 06,AD/30C,154/A,985809,F,ampara
Addalachchenai 06,AD/30C,158,669509,F,ampara
Addalachchenai 06,AD/30C,167/B,553014,F,ampara
Addalachchenai 06,AD/30C,169,926325,F,ampara
Addalachchenai 06,AD/30C,184/C,453285,F,ampara
Addalachchenai 06,AD/30C,224,524226,M,ampara
Addalachchenai 06,AD/30C,250,494722,M,ampara
Addalachchenai 06,AD/30C,264/D,965367,M,ampara
Addalachchenai 06,AD/30C,273,466310,M,ampara
Addalachchenai 06,AD/30C,306,427053,M,ampara
Addalachchenai 06,AD/30C,321/B,779305,F,ampara
Addalachchenai 06,AD/30C,352/G,420267,M,ampara
Addalachchenai 07,AD/30C/1,1-Dec,932489,F,ampara
Addalachchenai 07,AD/30C/1,44/1,493794,M,ampara
Addalachchenai 07,AD/30C/1,135,122751,F,ampara
Addalachchenai 07,AD/30C/1,137,782424,M,ampara
Addalachchenai 07,AD/30C/1,137/3,342499,M,ampara
Addalachchenai 07,AD/30C/1,163/1,848562,M,ampara
Addalachchenai 07,AD/30C/1,166/1,706503,F,ampara
Addalachchenai 07,AD/30C/1,204,985420,M,ampara
Ninthavur 01,41,10/E,264831,F,ampara
Ninthavur 01,41,11/E,48185,M,ampara
Ninthavur 01,41,13/B,834327,M,ampara
Ninthavur 01,41,51/A,225727,M,ampara
Ninthavur 01,41,56/A,273039,M,ampara
Ninthavur 01,41,106,486344,M,ampara
Ninthavur 01,41,110/C,972734,F,ampara
Ninthavur 01,41,110/C,86720,M,ampara
Ninthavur 01,41,128/1,933267,M,ampara
Ninthavur 01,41,144/A,327787,F,ampara
Ninthavur 01,41,162/B/1,973012,M,ampara
Ninthavur 01,41,160,181014,M,ampara
Ninthavur 01,41,160/A/1,822257,M,ampara
Ninthavur 01,41,209/2,762898,M,ampara
Ninthavur 01,41,231,38137,M,ampara
Ninthavur 01,41,238,155268,M,ampara
Ninthavur 11,41A,34,841011,M,ampara
Ninthavur 11,41A,40/B,509722,M,ampara
Ninthavur 11,41A,111/1,508649,M,ampara
Ninthavur 11,41A,168/A/1,468752,F,ampara
Ninthavur 11,41A,254,839296,F,ampara
Ninthavur 11,41A,285,856410,F,ampara
Ninthavur 11,41A,288/A,487907,M,ampara
Ninthavur 12,41B,13,682201,M,ampara
Ninthavur 12,41B,14/A,132559,M,ampara
Ninthavur 12,41B,15,463380,M,ampara
Ninthavur 12,41B,47,193452,M,ampara
Ninthavur 12,41B,132/2,129826,F,ampara
Ninthavur 12,41B,150/1,357993,F,ampara
Ninthavur 12,41B,187/A,318196,M,ampara
Ninthavur 12,41B,239/A,875989,M,ampara
Ninthavur 02,40,28/1/A,885484,F,ampara
Ninthavur 02,40,33/A,112011,M,ampara
Ninthavur 02,40,42/D,887335,F,ampara
Ninthavur 02,40,118/C,203686,F,ampara
Ninthavur 02,40,149,368177,M,ampara
Ninthavur 02,40,154/1,265052,F,ampara
Ninthavur 02,40,169/A,766764,F,ampara
Ninthavur 02,40,187/B,465757,M,ampara
